"IsSpam","Subject","Body","HasAttachment","AttachmentCount","NumLinks","BodyLength"
"False","Re: Vacation request","Approved. Enjoy your vacation and please hand over tasks before Friday.","False","0.0","0.0","73.0"
"False","Travel itinerary","Your itinerary is attached. Flight details and hotel confirmation included.","True","1.0","0.0","79.0"
"True","Action required","Your email will be deactivated. Confirm your details: http://confirm.example","False","0.0","1.0","84.0"
"False","Access granted","Your access request has been approved. You can now log in.","False","0.0","0.0","64.0"
"True","You won a gift card!","Congratulations! Claim your $500 gift card now. Limited time: http://scam.example/claim","False","0.0","1.0","97.0"
"True","MUST READ","This is your last chance to claim your reward. Act now!","False","0.0","0.0","61.0"
"True","Debt notice","Immediate payment required. Settle now: http://debt-pay.example","False","0.0","1.0","66.0"
"False","Your package delivery","Your package will arrive between 14:00 and 16:00 today.","False","0.0","0.0","61.0"
"True","Limited offer: 90% off","Buy now and save 90%. Only today: http://sale.example","False","0.0","1.0","62.0"
"False","Newsletter you subscribed to","Here is this month's update from the community you subscribed to.","False","0.0","0.0","71.0"
"False","Monthly report","Attached is the monthly report. Highlights are on page 2.","True","1.0","0.0","64.0"
"True","Unusual sign-in","We detected unusual sign-in. Confirm immediately: http://security-check.example","False","0.0","1.0","82.0"
"True","Investment opportunity","Guaranteed returns. Start with as little as $250: http://invest.example","False","0.0","1.0","83.0"
"True","Confirm your delivery","We couldn't deliver your parcel. Schedule delivery: http://parcel-track.example","False","0.0","1.0","83.0"
"True","Free vacation","You have won a free vacation. Claim here: http://vacation.example","False","0.0","1.0","67.0"
"False","Project kickoff notes","Thanks for joining. Notes and action items are attached.","True","1.0","0.0","62.0"
"True","Act fast","Limited-time offer. Click to secure your discount: http://deal.example","False","0.0","1.0","69.0"
"True","Claim inheritance","Unclaimed inheritance waiting. Send your ID and bank information.","False","0.0","0.0","73.0"
"False","Appointment confirmation","This is a confirmation for your appointment on Thursday at 09:00.","False","0.0","0.0","70.0"
"True","Quick money from home","Earn $3,000/week working from home. No experience needed. Click: http://earn-fast.example","False","0.0","1.0","95.0"
"True","Unlock your mailbox","Mailbox storage full. Increase quota: http://mail-quota.example","False","0.0","1.0","74.0"
"True","URGENT: Account suspended","Your account will be suspended today. Verify now to avoid permanent closure: http://bit.ly/verify-now","False","0.0","1.0","110.0"
"False","Fwd: Customer feedback","Forwarding customer feedback received today. See below.","False","0.0","0.0","56.0"
"True","You've been mentioned","Someone mentioned you in a photo. View now: http://photo-view.example","False","0.0","1.0","79.0"
"True","Cheap meds online","Buy meds without prescription at huge discount. Order now!","False","0.0","0.0","64.0"
"False","Support ticket update","We have resolved your issue. Please confirm the fix works on your side.","False","0.0","0.0","79.0"
"False","Status update","Here is the weekly status update. No blockers this week.","False","0.0","0.0","60.0"
"False","Bank statement ready","Your monthly statement is ready in the online portal.","False","0.0","0.0","57.0"
"True","Verify your bank account","To continue receiving payments, verify your bank account here: http://bank-verify.example","False","0.0","1.0","96.0"
"True","Exclusive crypto pre-sale","Double your money in 24 hours. Join the private pre-sale: http://crypto-deal.example","False","0.0","1.0","98.0"
"True","Invoice overdue - pay now","Final notice. Pay immediately to avoid legal action: http://pay-now.example","True","1.0","1.0","79.0"
"False","Photos requested","As requested, I'm sending the photos as attachments.","True","1.0","0.0","55.0"
"False","Payslip available","Your payslip is now available in the HR portal.","False","0.0","0.0","51.0"
"False","Meeting tomorrow","Hi team, reminder: our project meeting is tomorrow at 10:00. Agenda attached.","True","1.0","0.0","86.0"
"True","Refund available","You are eligible for a refund. Submit bank details: http://refund.example","False","0.0","1.0","75.0"
"False","Re: Please review","Could you please review the attached document and share feedback by EOD?","True","1.0","0.0","77.0"
"False","Invoice for December","Hello, please find the invoice for December. Let me know if you have questions.","True","1.0","0.0","88.0"
"False","Updated presentation","I've attached the updated slides for tomorrow's demo.","True","1.0","0.0","57.0"
"False","Security awareness training","Please complete the annual security training by next Monday.","False","0.0","0.0","61.0"
"False","Re: Code review","Left a few suggestions. Overall looks good to merge.","False","0.0","0.0","56.0"
"True","Password expired","Your mailbox password expired. Re-enter credentials here: http://login-secure.example","False","0.0","1.0","88.0"
"False","Schedule change","The meeting has moved to 11:00. Same link as before.","False","0.0","0.0","61.0"
"True","Business proposal","I have a confidential business proposal for you. Reply with your phone number.","False","0.0","0.0","83.0"
"True","Lottery winner","You have been selected as the winner. Provide details to receive funds.","False","0.0","0.0","74.0"
"True","Your device is infected","WARNING: Your device is infected. Install protection now: http://fix-virus.example","False","0.0","1.0","90.0"
"False","Re: Contract draft","I reviewed the draft. Added comments in section 3 and 5.","True","1.0","0.0","64.0"
"False","Question about the proposal","Can you clarify the timeline in the proposal? Thanks.","False","0.0","0.0","56.0"
"False","Lunch?","Are you free for lunch today around 12:30?","False","0.0","0.0","46.0"
"True","Payment failed","Your payment failed. Update your billing info: http://billing-update.example","False","0.0","1.0","73.0"
"False","Team photos","Sharing the photos from our team event. See attachments.","True","1.0","0.0","60.0"
